RCDTS,School Name,City,% ELA Proficiency,% Math Proficiency,% Science Proficiency,zip_code,county,Number of unemployed 16 years and older in the civilian workforce,Population 16 years and older in the civilian workforce,Percentage of families below the poverty level,num_unemployed_16_civilian_workforce,population_16_civilian_workforce,percent_below_poverty_level,unemployment_percentage,neighborhood,year_of_economic_data
150162990252355,Logan Square Elementary,Chicago,25.4,13.9,20.6,60647,Cook,2365.0,57167.0,8.5,2365.0,57167.0,8.5,4.137002116605734,Humboldt Park,2023
150162990252321,Lowell Elem School,Chicago,26.3,*,21.5,60651,Cook,3488.0,29853.0,23.5,3488.0,29853.0,23.5,11.683917864201252,Humboldt Park,2023
150162990252838,Madero Middle School,Chicago,33.0,12.1,38.4,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252324,Madison Elem School,Chicago,34.4,*,24.5,60619,Cook,5080.0,29132.0,20.6,5080.0,29132.0,20.6,17.43786901002334,Chatham,2023
150162990252829,Maria Saucedo STEAM Magnet Academy,Chicago,24.8,13.3,17.2,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252912,Marine Leadership Academy - Ames,Chicago,22.8,10.4,25.5,60647,Cook,2365.0,57167.0,8.5,2365.0,57167.0,8.5,4.137002116605734,Humboldt Park,2023
150162990250029,Marshall Metropolitan High School,Chicago,*,*,*,60624,Cook,2810.0,15155.0,29.2,2810.0,15155.0,29.2,18.541735400857803,East Garfield Park,2023
150162990252334,Mason Elem School,Chicago,18.9,*,*,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252337,Mayer Elem School,Chicago,83.9,67.6,73.3,60614,Cook,1690.0,47055.0,4.0,1690.0,47055.0,4.0,3.591541812772288,Lincoln Park,2023
150162990252802,Mays Elem Academy,Chicago,15.7,7.4,*,60621,Cook,2148.0,11720.0,24.7,2148.0,11720.0,24.7,18.327645051194537,Englewood,2023
150162990252877,McAuliffe Elem School,Chicago,21.7,14.6,20.0,60647,Cook,2365.0,57167.0,8.5,2365.0,57167.0,8.5,4.137002116605734,Humboldt Park,2023
150162990252341,McCormick Elem School,Chicago,26.1,11.9,21.3,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252344,McCutcheon Elem School,Chicago,30.3,14.0,19.4,60640,Cook,2386.0,44746.0,13.0,2386.0,44746.0,13.0,5.33232020739284,Edgewater,2023
150162990252345,McDade Elem Classical School,Chicago,91.6,87.0,76.5,60619,Cook,5080.0,29132.0,20.6,5080.0,29132.0,20.6,17.43786901002334,Chatham,2023
150162990252737,McDowell Elem School,Chicago,41.4,22.4,*,60619,Cook,5080.0,29132.0,20.6,5080.0,29132.0,20.6,17.43786901002334,Chatham,2023
150162990252634,McNair Elem School,Chicago,19.1,12.1,*,60651,Cook,3488.0,29853.0,23.5,3488.0,29853.0,23.5,11.683917864201252,Humboldt Park,2023
150162990252349,McPherson Elem School,Chicago,48.6,34.8,33.3,60640,Cook,2386.0,44746.0,13.0,2386.0,44746.0,13.0,5.33232020739284,Edgewater,2023
