RCDTS,School Name,City,% ELA Proficiency,% Math Proficiency,% Science Proficiency
150162990250545,Clemente Community Academy HS,Chicago,15.6,*,13.4
150162990252133,Cleveland Elem School,Chicago,46.9,21.9,19.5
150162990252134,Clinton Elem School,Chicago,36.6,28.3,25.1
150162990252135,Clissold Elem School,Chicago,36.8,17.1,20.6
150162990252918,Colemon J Elem Academy,Chicago,50.5,32.0,34.2
150162990252136,Coles Elem Language Academy,Chicago,25.0,25.9,*
150162990250841,Collins Academy STEAM High School,Chicago,*,*,*
150162990252919,Columbia Explorers Elem Academy,Chicago,59.3,37.7,41.5
150162990252139,Cook Elem School,Chicago,19.6,*,*
150162990252141,Coonley Elem School,Chicago,80.4,72.4,70.4
150162990252142,Cooper Elem Dual Language Academy,Chicago,27.3,15.1,21.8
150162990252145,Corkery Elem School,Chicago,12.3,9.8,24.8
150162990250543,Corliss High School,Chicago,*,*,*
150162990252921,Courtenay Elem Language Arts Ctr,Chicago,22.0,12.6,*
150162990250052,Crane Medical Prep HS,Chicago,13.3,*,14.7
150162990252147,Crown Elem Comm Acd Fine Arts Ctr,Chicago,31.7,*,*
150162990252617,Cuffe Math-Sci Tech Elem Academy,Chicago,30.8,9.5,*
150162990252637,Cullen Elem School,Chicago,37.6,15.2,*
150162990250617,Curie Metropolitan High School,Chicago,32.2,22.2,33.2
150162990252799,Curtis Elem School,Chicago,15.4,8.9,*
150162990252113,Daisy Bates Academy of Social Justice,Chicago,38.5,11.4,*
150162990252837,Daley Elem Academy,Chicago,23.2,12.7,18.2
150162990252148,Darwin Elem School,Chicago,45.9,17.6,21.4
150162990252954,Davis M Magnet Elem School,Chicago,44.8,38.6,*
150162990252149,Davis N Elem School,Chicago,15.6,6.7,11.4
150162990252150,Dawes Elem School,Chicago,41.0,21.8,30.3
150162990252825,De Diego Elem Community Academy,Chicago,21.0,10.7,12.7
150162990252805,Decatur Classical Elem School,Chicago,95.7,96.5,94.6
150162990252153,Deneen Elem School,Chicago,37.1,9.7,11.5
150162990252605,Depriest Elem School,Chicago,10.9,*,*
150162990252154,Dett Elem School,Chicago,10.1,*,*
150162990252158,Dever Elem School,Chicago,32.4,25.1,24.5
150162990250832,Devry Advantage Academy High Schl,Chicago,66.2,37.7,57.1
150162990252159,Dewey Elem Academy of Fine Arts,Chicago,53.4,20.1,20.4
150162990252603,Dirksen Elem School,Chicago,50.3,49.5,42.7
150162990252160,Disney Elem Magnet School,Chicago,58.2,39.0,50.4
150162990252949,Disney II Elem School,Chicago,70.0,54.1,67.9
150162990250053,Disney II Magnet HS,Chicago,59.0,30.6,39.4
150162990252161,Dixon Elem School,Chicago,46.6,24.0,16.3
150162990252167,Dore Elem School,Chicago,42.1,29.4,30.8
150162990250831,Douglass Academy High School,Chicago,*,*,*
150162990252169,Drake Elem School,Chicago,24.5,9.9,*
150162990252172,Drummond Elem School,Chicago,52.0,44.7,60.4
150162990252173,Dubois Elem School,Chicago,28.2,17.3,29.5
150162990252175,Dulles Elem School,Chicago,13.8,3.9,10.2
150162990250531,Dunbar Vocational Career Acad HS,Chicago,*,*,14.1
150162990252177,Dunne Technology Acad Elem Sch,Chicago,50.4,23.6,17.9
150162990252933,Durkin Park Elem School,Chicago,43.1,28.9,23.1
150162990252179,Dvorak Technology Acad Elem Sch,Chicago,21.6,*,*
150162990252743,Earhart Elem Opt for Knowl School,Chicago,66.7,37.1,36.2
150162990252180,Earle Elem School,Chicago,23.3,8.0,*
150162990252181,Eberhart Elem School,Chicago,26.9,13.1,15.5
150162990252182,Ebinger Elem School,Chicago,69.9,58.4,62.4
150162990252183,Edgebrook Elem School,Chicago,77.7,65.2,64.8
150162990252184,Edison Elem Regional Gifted Cntr,Chicago,96.6,93.8,98.3
150162990252953,Edison Park Elem School,Chicago,69.7,46.8,50.0
150162990252185,Edwards Elem School,Chicago,32.2,12.2,18.6
150162990252187,Ellington Elem School,Chicago,25.7,5.4,13.2
150162990250867,Englewood STEM High School,Chicago,8.4,*,*
15016299025015,EPIC Academy High School,Chicago,36.4,*,38.2
150162990252190,Ericson Elem Scholastic Academy,Chicago,39.3,11.2,*
15016299025219,Erie Elem Charter School,Chicago,19.2,9.8,13.1
150162990252191,Esmond Elem School,Chicago,25.2,25.0,*
150162990252192,Everett Elem School,Chicago,76.7,46.7,*
150162990252873,Evergreen Academy Elem School,Chicago,54.4,19.0,31.1
150162990252193,Evers Elem School,Chicago,37.1,12.4,*
150162990252913,Fairfield Elem Academy,Chicago,25.8,4.9,13.6
150162990252194,Falconer Elem School,Chicago,34.5,28.4,26.1
150162990252195,Faraday Elem School,Chicago,27.8,13.3,*
150162990252198,Farnsworth Elem School,Chicago,42.3,39.0,38.1
150162990250011,Farragut Career Academy HS,Chicago,25.0,*,20.0
150162990250012,Fenger Academy High School,Chicago,*,*,*
150162990252202,Fernwood Elem School,Chicago,43.0,21.3,*
150162990252203,Field Elem School,Chicago,39.8,13.3,26.6
150162990252893,Finkl Elem School,Chicago,26.0,13.2,*
150162990252204,Fiske Elem School,Chicago,14.7,4.5,*
